Name,Difficulty
Abomination,Easy
Abraxas,Hard
Absorbing Man,Easy
Agent 13,Easy
Agent Bob,Hard
Agent Zero,Medium
Air-Walker,Medium
Ajax,Medium
Ammo,Hard
Angel,Easy
Angel Dust,Hard
Angel Salvadore,Hard
Annihilus,Hard
Ant-Man,Easy
Ant-Man II,Hard
Anti-Venom,Hard
Apocalypse,Easy
Arachne,Hard
Archangel,Hard
Arclight,Hard
Ares,Medium
Ariel,Hard
Armor,Hard
Atlas,Medium
Aurora,Hard
Azazel,Hard
Banshee,Medium
Bantam,Hard
Battlestar,Hard
Beak,Hard
Beast,Medium
Beetle,Hard
Beta Ray Bill,Hard
Beyonder,Hard
Big Man,Hard
Binary,Hard
Bird-Brain,Hard
Bird-Man,Hard
Bird-Man II,Hard
Bishop,Medium
Black Abbott,Hard
Black Bolt,Medium
Black Cat,Medium
Black Goliath,Hard
Black Knight III,Hard
Black Mamba,Medium
Black Panther,Easy
Black Widow,Easy
Black Widow II,Hard
Blackout,Hard
Blackwing,Hard
Blackwulf,Hard
Blade,Easy
Blaquesmith,Hard
Bling!,Hard
Blink,Hard
Blizzard,Hard
Blizzard II,Hard
Blob,Hard
Bloodaxe,Hard
Bloodhawk,Hard
Bloodwraith,Hard
Bolt,Hard
Boom-Boom,Hard
Boomer,Hard
Box,Hard
Box III,Hard
Box IV,Hard
Brother Voodoo,Hard
Bullseye,Medium
Bumbleboy,Hard
Cable,Medium
Callisto,Hard
Cannonball,Medium
Captain America,Easy
Captain Britain,Hard
Captain Mar-vell,Hard
Captain Marvel,Easy
Captain Planet,Hard
Captain Universe,Hard
Carnage,Medium
Cat,Hard
Cat II,Hard
Cecilia Reyes,Hard
Century,Hard
Cerebra,Hard
Chamber,Hard
Changeling,Hard
Clea,Medium
Cloak,Medium
Copycat,Hard
Corsair,Hard
Cottonmouth,Hard
Crimson Crusader,Hard
Crimson Dynamo,Hard
Cyclops,Easy
Cypher,Hard
Dagger,Medium
Daredevil,Easy
Darkhawk,Hard
Darkstar,Hard
Dazzler,Medium
Deadpool,Easy
Deathlok,Medium
Demogoblin,Hard
Destroyer,Hard
Diamondback,Hard
Doc Samson,Hard
Doctor Doom,Easy
Doctor Doom II,Hard
Doctor Octopus,Hard
Doctor Strange,Easy
Domino,Easy
Doppelganger,Hard
Dormammu,Hard
Drax the Destroyer,Hard
Ego,Hard
Electro,Hard
Elektra,Easy
Emma Frost,Hard
Evil Deadpool,Hard
Evilhawk,Hard
Exodus,Hard
Fabian Cortez,Hard
Falcon,Easy
Fallen One II,Hard
Feral,Hard
Fin Fang Foom,Hard
Firebird,Hard
Firelord,Hard
Firestar,Medium
Fixer,Hard
Forge,Medium
Franklin Richards,Medium
Franklin Storm,Hard
Frenzy,Hard
Frigga,Hard
Galactus,Medium
Gambit,Easy
Gamora,Hard
Genesis,Hard
Ghost Rider,Easy
Ghost Rider II,Hard
Giant-Man,Hard
Giant-Man II,Hard
